Organisation,owns,Organisational Function,
Role,participates in,Organisational Function,
Role,produces/consumes,Business Object,
Role,operates at,Location,
Product,specialisation of,Business Object,
Location,at,Product,
Product,transforms/accountable for value of,Business Service,
